date,symbol,asset_type,open,high,low,close,volume
2025-06-30 00:00:00,bitcoin,crypto,108396.61631317894,108396.61631317894,108396.61631317894,108396.61631317894,0
2025-07-01 00:00:00,bitcoin,crypto,107132.79910701896,107132.79910701896,107132.79910701896,107132.79910701896,0
2025-07-02 00:00:00,bitcoin,crypto,105613.39974163055,105613.39974163055,105613.39974163055,105613.39974163055,0
2025-07-03 00:00:00,bitcoin,crypto,108824.44423167943,108824.44423167943,108824.44423167943,108824.44423167943,0
2025-07-04 00:00:00,bitcoin,crypto,109602.20483914016,109602.20483914016,109602.20483914016,109602.20483914016,0
2025-07-05 00:00:00,bitcoin,crypto,108040.8919400104,108040.8919400104,108040.8919400104,108040.8919400104,0
2025-07-06 00:00:00,bitcoin,crypto,108217.46849992426,108217.46849992426,108217.46849992426,108217.46849992426,0
2025-07-07 00:00:00,bitcoin,crypto,109215.19771840284,109215.19771840284,109215.19771840284,109215.19771840284,0
2025-07-08 00:00:00,bitcoin,crypto,108300.71675785031,108300.71675785031,108300.71675785031,108300.71675785031,0
2025-07-09 00:00:00,bitcoin,crypto,108953.19187727802,108953.19187727802,108953.19187727802,108953.19187727802,0
2025-07-10 00:00:00,bitcoin,crypto,111327.53054245669,111327.53054245669,111327.53054245669,111327.53054245669,0
2025-07-11 00:00:00,bitcoin,crypto,115879.65030112496,115879.65030112496,115879.65030112496,115879.65030112496,0
2025-07-12 00:00:00,bitcoin,crypto,117571.02510036016,117571.02510036016,117571.02510036016,117571.02510036016,0
2025-07-13 00:00:00,bitcoin,crypto,117418.95745007684,117418.95745007684,117418.95745007684,117418.95745007684,0
2025-07-14 00:00:00,bitcoin,crypto,119117.55666327637,119117.55666327637,119117.55666327637,119117.55666327637,0
2025-07-15 00:00:00,bitcoin,crypto,119833.67446712355,119833.67446712355,119833.67446712355,119833.67446712355,0
2025-07-16 00:00:00,bitcoin,crypto,117678.19493404306,117678.19493404306,117678.19493404306,117678.19493404306,0
2025-07-17 00:00:00,bitcoin,crypto,118748.1627367753,118748.1627367753,118748.1627367753,118748.1627367753,0
2025-07-18 00:00:00,bitcoin,crypto,119445.36520434043,119445.36520434043,119445.36520434043,119445.36520434043,0
2025-07-19 00:00:00,bitcoin,crypto,117988.94664455787,117988.94664455787,117988.94664455787,117988.94664455787,0
2025-07-20 00:00:00,bitcoin,crypto,117901.62655900871,117901.62655900871,117901.62655900871,117901.62655900871,0
2025-07-21 00:00:00,bitcoin,crypto,117256.9208222684,117256.9208222684,117256.9208222684,117256.9208222684,0
2025-07-22 00:00:00,bitcoin,crypto,117482.46977767294,117482.46977767294,117482.46977767294,117482.46977767294,0
2025-07-23 00:00:00,bitcoin,crypto,119955.79570607653,119955.79570607653,119955.79570607653,119955.79570607653,0
2025-07-24 00:00:00,bitcoin,crypto,118629.05588130427,118629.05588130427,118629.05588130427,118629.05588130427,0
2025-07-25 00:00:00,bitcoin,crypto,118354.43517438594,118354.43517438594,118354.43517438594,118354.43517438594,0
2025-07-26 00:00:00,bitcoin,crypto,117540.80837085741,117540.80837085741,117540.80837085741,117540.80837085741,0
2025-07-27 00:00:00,bitcoin,crypto,117959.54234360624,117959.54234360624,117959.54234360624,117959.54234360624,0
2025-07-28 00:00:00,bitcoin,crypto,119418.91405141471,119418.91405141471,119418.91405141471,119418.91405141471,0
2025-07-29 00:00:00,bitcoin,crypto,118003.30201607826,118003.30201607826,118003.30201607826,118003.30201607826,0
2025-07-30 00:00:00,bitcoin,crypto,117853.30892863822,117853.30892863822,117853.30892863822,117853.30892863822,0
2025-07-31 00:00:00,bitcoin,crypto,117833.24087995925,117833.24087995925,117833.24087995925,117833.24087995925,0
2025-08-01 00:00:00,bitcoin,crypto,115700.00243915782,115700.00243915782,115700.00243915782,115700.00243915782,0
2025-08-02 00:00:00,bitcoin,crypto,113234.6051343189,113234.6051343189,113234.6051343189,113234.6051343189,0
2025-08-03 00:00:00,bitcoin,crypto,112554.90232221723,112554.90232221723,112554.90232221723,112554.90232221723,0
2025-08-04 00:00:00,bitcoin,crypto,114199.10966460757,114199.10966460757,114199.10966460757,114199.10966460757,0
2025-08-05 00:00:00,bitcoin,crypto,115138.68613070177,115138.68613070177,115138.68613070177,115138.68613070177,0
2025-08-06 00:00:00,bitcoin,crypto,114128.35408881678,114128.35408881678,114128.35408881678,114128.35408881678,0
2025-08-07 00:00:00,bitcoin,crypto,115022.09576830892,115022.09576830892,115022.09576830892,115022.09576830892,0
2025-08-08 00:00:00,bitcoin,crypto,117463.47451085235,117463.47451085235,117463.47451085235,117463.47451085235,0
2025-08-09 00:00:00,bitcoin,crypto,116688.36663186055,116688.36663186055,116688.36663186055,116688.36663186055,0
2025-08-10 00:00:00,bitcoin,crypto,116510.08393213755,116510.08393213755,116510.08393213755,116510.08393213755,0
2025-08-11 00:00:00,bitcoin,crypto,119266.92516880555,119266.92516880555,119266.92516880555,119266.92516880555,0
2025-08-12 00:00:00,bitcoin,crypto,118773.79960860992,118773.79960860992,118773.79960860992,118773.79960860992,0
2025-08-13 00:00:00,bitcoin,crypto,120202.53485503166,120202.53485503166,120202.53485503166,120202.53485503166,0
2025-08-14 00:00:00,bitcoin,crypto,123560.99363577305,123560.99363577305,123560.99363577305,123560.99363577305,0
2025-08-15 00:00:00,bitcoin,crypto,118405.59579823953,118405.59579823953,118405.59579823953,118405.59579823953,0
2025-08-16 00:00:00,bitcoin,crypto,117339.79190213277,117339.79190213277,117339.79190213277,117339.79190213277,0
2025-08-17 00:00:00,bitcoin,crypto,117501.21653394958,117501.21653394958,117501.21653394958,117501.21653394958,0
2025-08-18 00:00:00,bitcoin,crypto,117542.83687778088,117542.83687778088,117542.83687778088,117542.83687778088,0
2025-08-19 00:00:00,bitcoin,crypto,116256.41276740946,116256.41276740946,116256.41276740946,116256.41276740946,0
2025-08-20 00:00:00,bitcoin,crypto,112778.34483555844,112778.34483555844,112778.34483555844,112778.34483555844,0
