date,symbol,asset_type,open,high,low,close,volume
2025-06-30 00:00:00,ethereum,crypto,2502.6672721177083,2502.6672721177083,2502.6672721177083,2502.6672721177083,0
2025-07-01 00:00:00,ethereum,crypto,2488.190781689803,2488.190781689803,2488.190781689803,2488.190781689803,0
2025-07-02 00:00:00,ethereum,crypto,2405.1045592800183,2405.1045592800183,2405.1045592800183,2405.1045592800183,0
2025-07-03 00:00:00,ethereum,crypto,2574.067718495133,2574.067718495133,2574.067718495133,2574.067718495133,0
2025-07-04 00:00:00,ethereum,crypto,2590.132231590221,2590.132231590221,2590.132231590221,2590.132231590221,0
2025-07-05 00:00:00,ethereum,crypto,2509.236345783362,2509.236345783362,2509.236345783362,2509.236345783362,0
2025-07-06 00:00:00,ethereum,crypto,2517.37917835065,2517.37917835065,2517.37917835065,2517.37917835065,0
2025-07-07 00:00:00,ethereum,crypto,2571.358192115984,2571.358192115984,2571.358192115984,2571.358192115984,0
2025-07-08 00:00:00,ethereum,crypto,2543.6317028067488,2543.6317028067488,2543.6317028067488,2543.6317028067488,0
2025-07-09 00:00:00,ethereum,crypto,2615.7759888945047,2615.7759888945047,2615.7759888945047,2615.7759888945047,0
2025-07-10 00:00:00,ethereum,crypto,2772.5795626609174,2772.5795626609174,2772.5795626609174,2772.5795626609174,0
2025-07-11 00:00:00,ethereum,crypto,2948.4462027029053,2948.4462027029053,2948.4462027029053,2948.4462027029053,0
2025-07-12 00:00:00,ethereum,crypto,2958.8514450990992,2958.8514450990992,2958.8514450990992,2958.8514450990992,0
2025-07-13 00:00:00,ethereum,crypto,2942.9616055388096,2942.9616055388096,2942.9616055388096,2942.9616055388096,0
2025-07-14 00:00:00,ethereum,crypto,2974.2654952333387,2974.2654952333387,2974.2654952333387,2974.2654952333387,0
2025-07-15 00:00:00,ethereum,crypto,3012.1797069059276,3012.1797069059276,3012.1797069059276,3012.1797069059276,0
2025-07-16 00:00:00,ethereum,crypto,3133.069857747011,3133.069857747011,3133.069857747011,3133.069857747011,0
2025-07-17 00:00:00,ethereum,crypto,3368.126521526108,3368.126521526108,3368.126521526108,3368.126521526108,0
2025-07-18 00:00:00,ethereum,crypto,3481.8828152374017,3481.8828152374017,3481.8828152374017,3481.8828152374017,0
2025-07-19 00:00:00,ethereum,crypto,3547.317079001209,3547.317079001209,3547.317079001209,3547.317079001209,0
2025-07-20 00:00:00,ethereum,crypto,3594.3185010809702,3594.3185010809702,3594.3185010809702,3594.3185010809702,0
2025-07-21 00:00:00,ethereum,crypto,3758.605581813957,3758.605581813957,3758.605581813957,3758.605581813957,0
2025-07-22 00:00:00,ethereum,crypto,3765.453624023574,3765.453624023574,3765.453624023574,3765.453624023574,0
2025-07-23 00:00:00,ethereum,crypto,3746.9406687316323,3746.9406687316323,3746.9406687316323,3746.9406687316323,0
