date,symbol,asset_type,open,high,low,close,volume
2025-06-30 00:00:00,solana,crypto,153.31879559308874,153.31879559308874,153.31879559308874,153.31879559308874,0
2025-07-01 00:00:00,solana,crypto,154.9374500694811,154.9374500694811,154.9374500694811,154.9374500694811,0
2025-07-02 00:00:00,solana,crypto,146.84115991278014,146.84115991278014,146.84115991278014,146.84115991278014,0
2025-07-03 00:00:00,solana,crypto,152.1680329188485,152.1680329188485,152.1680329188485,152.1680329188485,0
2025-07-04 00:00:00,solana,crypto,152.28063806980848,152.28063806980848,152.28063806980848,152.28063806980848,0
2025-07-05 00:00:00,solana,crypto,147.76302956048175,147.76302956048175,147.76302956048175,147.76302956048175,0
2025-07-06 00:00:00,solana,crypto,147.60067170952217,147.60067170952217,147.60067170952217,147.60067170952217,0
2025-07-07 00:00:00,solana,crypto,151.92103968743746,151.92103968743746,151.92103968743746,151.92103968743746,0
2025-07-08 00:00:00,solana,crypto,148.79005045485957,148.79005045485957,148.79005045485957,148.79005045485957,0
2025-07-09 00:00:00,solana,crypto,151.83083400485827,151.83083400485827,151.83083400485827,151.83083400485827,0
2025-07-10 00:00:00,solana,crypto,157.20772193763892,157.20772193763892,157.20772193763892,157.20772193763892,0
2025-07-11 00:00:00,solana,crypto,163.85821380442644,163.85821380442644,163.85821380442644,163.85821380442644,0
2025-07-12 00:00:00,solana,crypto,162.75319398002793,162.75319398002793,162.75319398002793,162.75319398002793,0
2025-07-13 00:00:00,solana,crypto,160.46917812212587,160.46917812212587,160.46917812212587,160.46917812212587,0
2025-07-14 00:00:00,solana,crypto,161.2426294578984,161.2426294578984,161.2426294578984,161.2426294578984,0
2025-07-15 00:00:00,solana,crypto,162.28222240485653,162.28222240485653,162.28222240485653,162.28222240485653,0
2025-07-16 00:00:00,solana,crypto,163.96583057213138,163.96583057213138,163.96583057213138,163.96583057213138,0
2025-07-17 00:00:00,solana,crypto,173.8289647474319,173.8289647474319,173.8289647474319,173.8289647474319,0
2025-07-18 00:00:00,solana,crypto,176.0976453468298,176.0976453468298,176.0976453468298,176.0976453468298,0
2025-07-19 00:00:00,solana,crypto,177.36979874415755,177.36979874415755,177.36979874415755,177.36979874415755,0
2025-07-20 00:00:00,solana,crypto,176.91082733883786,176.91082733883786,176.91082733883786,176.91082733883786,0
2025-07-21 00:00:00,solana,crypto,180.99223128612934,180.99223128612934,180.99223128612934,180.99223128612934,0
2025-07-22 00:00:00,solana,crypto,196.42381167802614,196.42381167802614,196.42381167802614,196.42381167802614,0
2025-07-23 00:00:00,solana,crypto,205.2909062553001,205.2909062553001,205.2909062553001,205.2909062553001,0
2025-07-24 00:00:00,solana,crypto,189.5923023530127,189.5923023530127,189.5923023530127,189.5923023530127,0
2025-07-25 00:00:00,solana,crypto,182.56084286755046,182.56084286755046,182.56084286755046,182.56084286755046,0
2025-07-26 00:00:00,solana,crypto,186.17182549934944,186.17182549934944,186.17182549934944,186.17182549934944,0
2025-07-27 00:00:00,solana,crypto,184.9395837508933,184.9395837508933,184.9395837508933,184.9395837508933,0
2025-07-28 00:00:00,solana,crypto,188.5758287219798,188.5758287219798,188.5758287219798,188.5758287219798,0
2025-07-29 00:00:00,solana,crypto,183.03025266261037,183.03025266261037,183.03025266261037,183.03025266261037,0
2025-07-30 00:00:00,solana,crypto,181.16776459533068,181.16776459533068,181.16776459533068,181.16776459533068,0
2025-07-31 00:00:00,solana,crypto,177.8780960276323,177.8780960276323,177.8780960276323,177.8780960276323,0
2025-08-01 00:00:00,solana,crypto,172.1630467364299,172.1630467364299,172.1630467364299,172.1630467364299,0
2025-08-02 00:00:00,solana,crypto,162.79127248081605,162.79127248081605,162.79127248081605,162.79127248081605,0
2025-08-03 00:00:00,solana,crypto,158.53125175932496,158.53125175932496,158.53125175932496,158.53125175932496,0
2025-08-04 00:00:00,solana,crypto,161.90312387611363,161.90312387611363,161.90312387611363,161.90312387611363,0
2025-08-05 00:00:00,solana,crypto,169.41522028427192,169.41522028427192,169.41522028427192,169.41522028427192,0
2025-08-06 00:00:00,solana,crypto,164.08356857308905,164.08356857308905,164.08356857308905,164.08356857308905,0
2025-08-07 00:00:00,solana,crypto,168.1731958529984,168.1731958529984,168.1731958529984,168.1731958529984,0
2025-08-08 00:00:00,solana,crypto,175.3851480311338,175.3851480311338,175.3851480311338,175.3851480311338,0
2025-08-09 00:00:00,solana,crypto,176.79535226118225,176.79535226118225,176.79535226118225,176.79535226118225,0
2025-08-10 00:00:00,solana,crypto,180.38638312645054,180.38638312645054,180.38638312645054,180.38638312645054,0
2025-08-11 00:00:00,solana,crypto,182.9089507475702,182.9089507475702,182.9089507475702,182.9089507475702,0
2025-08-12 00:00:00,solana,crypto,175.04512640796176,175.04512640796176,175.04512640796176,175.04512640796176,0
2025-08-13 00:00:00,solana,crypto,192.59412792428108,192.59412792428108,192.59412792428108,192.59412792428108,0
