date,symbol,asset_type,open,high,low,close,volume,adj_close
2024-07-01 00:00:00-03:00,^BVSP,indexes,123905.0,125220.0,123735.0,124718.0,0,124718.0
2024-07-02 00:00:00-03:00,^BVSP,indexes,124720.0,125491.0,124310.0,124787.0,8368000,124787.0
2024-07-03 00:00:00-03:00,^BVSP,indexes,124787.0,126581.0,124787.0,125662.0,8534200,125662.0
2024-07-04 00:00:00-03:00,^BVSP,indexes,125666.0,126660.0,125666.0,126164.0,6535700,126164.0
2024-07-05 00:00:00-03:00,^BVSP,indexes,126165.0,126662.0,125556.0,126267.0,8085600,126267.0
2024-07-08 00:00:00-03:00,^BVSP,indexes,126280.0,126551.0,125614.0,126548.0,7430300,126548.0
2024-07-09 00:00:00-03:00,^BVSP,indexes,126548.0,127295.0,125937.0,127108.0,6684600,127108.0
2024-07-10 00:00:00-03:00,^BVSP,indexes,127109.0,127769.0,126928.0,127218.0,8152600,127218.0
2024-07-11 00:00:00-03:00,^BVSP,indexes,127221.0,128326.0,127221.0,128294.0,7972900,128294.0
2024-07-12 00:00:00-03:00,^BVSP,indexes,128293.0,129015.0,128002.0,128897.0,7206600,128897.0
2024-07-15 00:00:00-03:00,^BVSP,indexes,128898.0,129485.0,128723.0,129321.0,5826900,129321.0
2024-07-16 00:00:00-03:00,^BVSP,indexes,129322.0,129521.0,128761.0,129110.0,6818900,129110.0
2024-07-17 00:00:00-03:00,^BVSP,indexes,129112.0,129658.0,128741.0,129450.0,6672400,129450.0
2024-07-18 00:00:00-03:00,^BVSP,indexes,129450.0,129454.0,127523.0,127652.0,7591500,127652.0
2024-07-19 00:00:00-03:00,^BVSP,indexes,127652.0,128360.0,127413.0,127616.0,7620400,127616.0
2024-07-22 00:00:00-03:00,^BVSP,indexes,127616.0,128151.0,127456.0,127860.0,6098200,127860.0
2024-07-23 00:00:00-03:00,^BVSP,indexes,127860.0,127860.0,126530.0,126590.0,7022900,126590.0
2024-07-24 00:00:00-03:00,^BVSP,indexes,126596.0,126823.0,126218.0,126423.0,7304800,126423.0
2024-07-25 00:00:00-03:00,^BVSP,indexes,126423.0,126423.0,125626.0,125954.0,7134100,125954.0
2024-07-26 00:00:00-03:00,^BVSP,indexes,125964.0,127700.0,125953.0,127492.0,8272000,127492.0
2024-07-29 00:00:00-03:00,^BVSP,indexes,127492.0,127657.0,126606.0,126954.0,7075400,126954.0
2024-07-30 00:00:00-03:00,^BVSP,indexes,126951.0,126951.0,125973.0,126139.0,6848600,126139.0
2024-07-31 00:00:00-03:00,^BVSP,indexes,126139.0,127853.0,126139.0,127652.0,9471900,127652.0
2024-08-01 00:00:00-03:00,^BVSP,indexes,127652.0,128762.0,127150.0,127395.0,9814200,127395.0
2024-08-02 00:00:00-03:00,^BVSP,indexes,127395.0,128104.0,125731.0,125854.0,9950900,125854.0
2024-08-05 00:00:00-03:00,^BVSP,indexes,125851.0,125851.0,123073.0,125270.0,10886100,125270.0
2024-08-06 00:00:00-03:00,^BVSP,indexes,125270.0,126966.0,125261.0,126267.0,10052600,126267.0
2024-08-07 00:00:00-03:00,^BVSP,indexes,126268.0,127517.0,126268.0,127514.0,8837900,127514.0
2024-08-08 00:00:00-03:00,^BVSP,indexes,127515.0,128793.0,127515.0,128661.0,8624000,128661.0
2024-08-09 00:00:00-03:00,^BVSP,indexes,128662.0,130631.0,128662.0,130615.0,11324800,130615.0
