date,symbol,asset_type,open,high,low,close,volume,adj_close
2024-07-01 00:00:00-04:00,^IXIC,indexes,17773.900390625,17894.279296875,17657.640625,17879.30078125,5189990000,17879.30078125
2024-07-02 00:00:00-04:00,^IXIC,indexes,17808.0390625,18031.2890625,17802.240234375,18028.759765625,4526550000,18028.759765625
2024-07-03 00:00:00-04:00,^IXIC,indexes,18016.119140625,18188.30078125,18016.119140625,18188.30078125,3713960000,18188.30078125
2024-07-05 00:00:00-04:00,^IXIC,indexes,18200.599609375,18366.310546875,18197.140625,18352.759765625,4851000000,18352.759765625
2024-07-08 00:00:00-04:00,^IXIC,indexes,18371.859375,18416.939453125,18342.599609375,18403.740234375,5286260000,18403.740234375
2024-07-09 00:00:00-04:00,^IXIC,indexes,18465.01953125,18511.890625,18381.599609375,18429.2890625,4839140000,18429.2890625
2024-07-10 00:00:00-04:00,^IXIC,indexes,18512.08984375,18655.189453125,18467.580078125,18647.44921875,5228240000,18647.44921875
2024-07-11 00:00:00-04:00,^IXIC,indexes,18659.25,18671.0703125,18238.779296875,18283.41015625,6366620000,18283.41015625
2024-07-12 00:00:00-04:00,^IXIC,indexes,18303.640625,18556.73046875,18293.599609375,18398.44921875,5845930000,18398.44921875
2024-07-15 00:00:00-04:00,^IXIC,indexes,18485.91015625,18641.529296875,18397.830078125,18472.5703125,5450350000,18472.5703125
2024-07-16 00:00:00-04:00,^IXIC,indexes,18534.26953125,18576.830078125,18386.0703125,18509.33984375,5812930000,18509.33984375
2024-07-17 00:00:00-04:00,^IXIC,indexes,18188.189453125,18223.240234375,17972.869140625,17996.919921875,6007280000,17996.919921875
2024-07-18 00:00:00-04:00,^IXIC,indexes,18119.150390625,18130.869140625,17759.5390625,17871.220703125,5977260000,17871.220703125
2024-07-19 00:00:00-04:00,^IXIC,indexes,17835.58984375,17935.140625,17691.4296875,17726.939453125,4992930000,17726.939453125
2024-07-22 00:00:00-04:00,^IXIC,indexes,17923.650390625,18040.990234375,17839.759765625,18007.5703125,5093620000,18007.5703125
2024-07-23 00:00:00-04:00,^IXIC,indexes,17982.740234375,18128.380859375,17968.099609375,17997.349609375,4938000000,17997.349609375
2024-07-24 00:00:00-04:00,^IXIC,indexes,17733.91015625,17747.060546875,17313.51953125,17342.41015625,6735560000,17342.41015625
2024-07-25 00:00:00-04:00,^IXIC,indexes,17352.640625,17544.4609375,17033.9609375,17181.720703125,6114350000,17181.720703125
2024-07-26 00:00:00-04:00,^IXIC,indexes,17331.94921875,17454.5703125,17239.990234375,17357.880859375,5281560000,17357.880859375
2024-07-29 00:00:00-04:00,^IXIC,indexes,17444.390625,17535.3203125,17299.830078125,17370.19921875,4897230000,17370.19921875
2024-07-30 00:00:00-04:00,^IXIC,indexes,17424.099609375,17468.560546875,17015.380859375,17147.419921875,5564310000,17147.419921875
2024-07-31 00:00:00-04:00,^IXIC,indexes,17499.23046875,17693.98046875,17438.599609375,17599.400390625,6292560000,17599.400390625
2024-08-01 00:00:00-04:00,^IXIC,indexes,17647.029296875,17791.580078125,17051.419921875,17194.150390625,6664550000,17194.150390625
2024-08-02 00:00:00-04:00,^IXIC,indexes,16780.44921875,16920.630859375,16582.7890625,16776.16015625,6313870000,16776.16015625
2024-08-05 00:00:00-04:00,^IXIC,indexes,15712.5302734375,16453.4609375,15708.5400390625,16200.080078125,6852190000,16200.080078125
2024-08-06 00:00:00-04:00,^IXIC,indexes,16261.3603515625,16620.310546875,16137.650390625,16366.849609375,5908930000,16366.849609375
2024-08-07 00:00:00-04:00,^IXIC,indexes,16622.310546875,16709.810546875,16179.5302734375,16195.8095703125,5913620000,16195.8095703125
2024-08-08 00:00:00-04:00,^IXIC,indexes,16408.26953125,16694.25,16262.9296875,16660.01953125,5815880000,16660.01953125
2024-08-09 00:00:00-04:00,^IXIC,indexes,16636.51953125,16789.220703125,16574.5703125,16745.30078125,5783410000,16745.30078125
2024-08-12 00:00:00-04:00,^IXIC,indexes,16793.640625,16895.7890625,16699.390625,16780.609375,4890850000,16780.609375
2024-08-13 00:00:00-04:00,^IXIC,indexes,16944.740234375,17192.7890625,16943.94921875,17187.609375,5469160000,17187.609375
2024-08-14 00:00:00-04:00,^IXIC,indexes,17227.640625,17260.73046875,17032.169921875,17192.599609375,4985480000,17192.599609375
2024-08-15 00:00:00-04:00,^IXIC,indexes,17394.5390625,17602.720703125,17375.41015625,17594.5,5478170000,17594.5
2024-08-16 00:00:00-04:00,^IXIC,indexes,17516.400390625,17674.650390625,17502.830078125,17631.720703125,5138150000,17631.720703125
2024-08-19 00:00:00-04:00,^IXIC,indexes,17649.740234375,17877.439453125,17585.580078125,17876.76953125,5564300000,17876.76953125
2024-08-20 00:00:00-04:00,^IXIC,indexes,17849.08984375,17932.529296875,17758.19921875,17816.939453125,5305260000,17816.939453125
2024-08-21 00:00:00-04:00,^IXIC,indexes,17840.509765625,17963.0703125,17790.98046875,17918.990234375,4765150000,17918.990234375
2024-08-22 00:00:00-04:00,^IXIC,indexes,17993.720703125,18017.689453125,17589.150390625,17619.349609375,5065360000,17619.349609375
2024-08-23 00:00:00-04:00,^IXIC,indexes,17772.73046875,17941.26953125,17700.26953125,17877.7890625,5380810000,17877.7890625
2024-08-26 00:00:00-04:00,^IXIC,indexes,17867.849609375,17909.08984375,17645.689453125,17725.76953125,5110940000,17725.76953125
2024-08-27 00:00:00-04:00,^IXIC,indexes,17655.51953125,17789.720703125,17573.369140625,17754.8203125,4362380000,17754.8203125
2024-08-28 00:00:00-04:00,^IXIC,indexes,17738.80078125,17759.939453125,17439.400390625,17556.029296875,5211920000,17556.029296875
2024-08-29 00:00:00-04:00,^IXIC,indexes,17610.5703125,17789.2109375,17482.599609375,17516.4296875,5727780000,17516.4296875
2024-08-30 00:00:00-04:00,^IXIC,indexes,17650.490234375,17720.380859375,17498.7890625,17713.619140625,5531150000,17713.619140625
2024-09-03 00:00:00-04:00,^IXIC,indexes,17585.44921875,17585.44921875,17057.7890625,17136.30078125,5813970000,17136.30078125
2024-09-04 00:00:00-04:00,^IXIC,indexes,17015.7109375,17232.650390625,16984.669921875,17084.30078125,5011820000,17084.30078125
2024-09-05 00:00:00-04:00,^IXIC,indexes,17063.240234375,17295.580078125,17035.0703125,17127.66015625,4983030000,17127.66015625
2024-09-06 00:00:00-04:00,^IXIC,indexes,17137.619140625,17166.5390625,16668.5703125,16690.830078125,5549030000,16690.830078125
2024-09-09 00:00:00-04:00,^IXIC,indexes,16835.669921875,16923.279296875,16732.83984375,16884.599609375,5132150000,16884.599609375
2024-09-10 00:00:00-04:00,^IXIC,indexes,16949.640625,17036.0703125,16801.130859375,17025.880859375,4963740000,17025.880859375
2024-09-11 00:00:00-04:00,^IXIC,indexes,17061.41015625,17420.23046875,16787.83984375,17395.529296875,6086930000,17395.529296875
2024-09-12 00:00:00-04:00,^IXIC,indexes,17413.890625,17605.720703125,17338.3203125,17569.6796875,4983120000,17569.6796875
2024-09-13 00:00:00-04:00,^IXIC,indexes,17575.259765625,17719.140625,17564.609375,17683.98046875,4802880000,17683.98046875
2024-09-16 00:00:00-04:00,^IXIC,indexes,17573.69921875,17618.400390625,17480.66015625,17592.130859375,4675530000,17592.130859375
2024-09-17 00:00:00-04:00,^IXIC,indexes,17707.01953125,17781.740234375,17544.640625,17628.060546875,4959520000,17628.060546875
2024-09-18 00:00:00-04:00,^IXIC,indexes,17663.380859375,17832.69921875,17556.4296875,17573.30078125,5611630000,17573.30078125
2024-09-19 00:00:00-04:00,^IXIC,indexes,17980.890625,18099.9296875,17909.75,18013.98046875,5574650000,18013.98046875
2024-09-20 00:00:00-04:00,^IXIC,indexes,17999.349609375,18024.33984375,17835.640625,17948.3203125,9914480000,17948.3203125
2024-09-23 00:00:00-04:00,^IXIC,indexes,17994.91015625,18021.580078125,17936.369140625,17974.26953125,5237310000,17974.26953125
2024-09-24 00:00:00-04:00,^IXIC,indexes,18046.439453125,18091.9609375,17863.380859375,18074.51953125,5347580000,18074.51953125
2024-09-25 00:00:00-04:00,^IXIC,indexes,18050.359375,18155.0390625,18040.619140625,18082.2109375,4858060000,18082.2109375
2024-09-26 00:00:00-04:00,^IXIC,indexes,18327.33984375,18327.33984375,18071.740234375,18190.2890625,5669210000,18190.2890625
2024-09-27 00:00:00-04:00,^IXIC,indexes,18228.779296875,18238.279296875,18069.1796875,18119.58984375,5367890000,18119.58984375
2024-09-30 00:00:00-04:00,^IXIC,indexes,18069.830078125,18198.16015625,17997.560546875,18189.169921875,5846150000,18189.169921875
