date,symbol,asset_type,open,high,low,close,volume,adj_close,daily_return,cumulative_return,drawdown
2024-07-01 00:00:00-03:00,VALE3.SA,stocks,52.98207119316964,53.50589562530081,52.88913449640637,53.345367431640625,20236800,53.345367431640625,,0.0,0.0
2024-07-02 00:00:00-03:00,VALE3.SA,stocks,53.294674486277465,53.51434039482012,52.77085007916688,53.16794204711914,24335300,53.16794204711914,-0.3325975488852828,-0.3325975488852823,-0.3325975488852823
2024-07-03 00:00:00-03:00,VALE3.SA,stocks,53.61573036629951,54.78165475509446,53.60728304012281,54.22404098510742,29884200,54.22404098510742,1.9863453376704587,1.6471412528796852,0.0
2024-07-04 00:00:00-03:00,VALE3.SA,stocks,54.61268297389465,54.66337337732328,53.928336744086465,53.95368194580078,7984300,53.95368194580078,-0.4985962580341341,1.1403324101941568,-0.49859625803413377
2024-07-05 00:00:00-03:00,VALE3.SA,stocks,53.48054712196069,53.94522738213734,53.38761042533737,53.7340087890625,13138400,53.7340087890625,-0.40715137283671154,0.7285381582944369,-0.9037175893613475
2024-07-08 00:00:00-03:00,VALE3.SA,stocks,53.29467837685384,53.4298581511191,52.94827678092532,53.31157302856445,18662500,53.31157302856445,-0.7861608877095971,-0.06335021146771119,-1.6827738028480341
2024-07-09 00:00:00-03:00,VALE3.SA,stocks,53.20174114767636,53.42140707006627,52.982072002346435,53.24398422241211,9794400,53.24398422241211,-0.12678073880155738,-0.19005063440313358,-1.8074211085899776
2024-07-10 00:00:00-03:00,VALE3.SA,stocks,52.94827412080327,53.015865616010124,52.24703008420151,52.52583694458008,17384000,52.52583694458008,-1.348785761095883,-1.5362730196033114,-3.131828631130155
2024-07-11 00:00:00-03:00,VALE3.SA,stocks,52.737057702110434,52.96517417340766,52.247032233462335,52.39065933227539,13413600,52.39065933227539,-0.2573545138315758,-1.7896738654741562,-3.381123242614042
2024-07-12 00:00:00-03:00,VALE3.SA,stocks,52.44135434835731,53.15949630737305,52.34841764762678,53.15949630737305,13141700,53.15949630737305,1.4675077292337413,-0.348429738544331,-1.963233758300587
2024-07-15 00:00:00-03:00,VALE3.SA,stocks,53.0581111766068,53.37916434801176,52.73705800520184,53.2186393737793,10198000,53.2186393737793,0.11125588185463275,-0.2375615052679573,-1.8541620894766173
2024-07-16 00:00:00-03:00,VALE3.SA,stocks,52.62722262498194,52.66946569676216,51.84993656787877,52.66101837158203,22363900,52.66101837158203,-1.047792669558556,-1.2828650227886278,-2.8825269845799086
2024-07-17 00:00:00-03:00,VALE3.SA,stocks,52.280828378523125,52.39911027795702,52.027366705030495,52.17099380493164,23145000,52.17099380493164,-0.9305261876872972,-2.2014538154861985,-3.7862305038085386
2024-07-18 00:00:00-03:00,VALE3.SA,stocks,52.12875104651256,52.30617389674121,51.58803194699283,51.680965423583984,20625500,51.680965423583984,-0.9392736185549477,-3.1200497591276077,-4.6899410581035275
2024-07-19 00:00:00-03:00,VALE3.SA,stocks,51.70630914412931,51.858386779904315,51.064202854648215,51.63871765136719,20553900,51.63871765136719,-0.08174725814529271,-3.1992464621420456,-4.76785441802519
2024-07-22 00:00:00-03:00,VALE3.SA,stocks,51.63871934629635,51.76545178791517,51.30921886561528,51.5795783996582,13095200,51.5795783996582,-0.11452501998259201,-3.3101075444745804,-4.876919051782802
