date,symbol,asset_type,open,high,low,close,volume,daily_return,cumulative_return,drawdown
2025-06-30 00:00:00,solana,crypto,153.31879559308874,153.31879559308874,153.31879559308874,153.31879559308874,0,,0.0,0.0
2025-07-01 00:00:00,solana,crypto,154.9374500694811,154.9374500694811,154.9374500694811,154.9374500694811,0,1.055744320277796,1.0557443202777912,0.0
2025-07-02 00:00:00,solana,crypto,146.84115991278014,146.84115991278014,146.84115991278014,146.84115991278014,0,-5.225521752855878,-4.224945581688741,-5.225521752855876
2025-07-03 00:00:00,solana,crypto,152.1680329188485,152.1680329188485,152.1680329188485,152.1680329188485,0,3.627642964160982,-0.7505685586615152,-1.7874420609030657
2025-07-04 00:00:00,solana,crypto,152.28063806980848,152.28063806980848,152.28063806980848,152.28063806980848,0,0.07400053007193819,-0.6771234533015466,-1.7147642474309315
2025-07-05 00:00:00,solana,crypto,147.76302956048175,147.76302956048175,147.76302956048175,147.76302956048175,0,-2.9666335566940316,-3.623669238409686,-4.630527032542482
2025-07-06 00:00:00,solana,crypto,147.60067170952217,147.60067170952217,147.60067170952217,147.60067170952217,0,-0.10987718067402286,-3.7295648334875926,-4.735316320662799
2025-07-07 00:00:00,solana,crypto,151.92103968743746,151.92103968743746,151.92103968743746,151.92103968743746,0,2.9270652551078857,-0.911666374787442,-1.9468568642964847
2025-07-08 00:00:00,solana,crypto,148.79005045485957,148.79005045485957,148.79005045485957,148.79005045485957,0,-2.060931941368749,-2.9538094926394756,-3.9676654106962155
2025-07-09 00:00:00,solana,crypto,151.83083400485827,151.83083400485827,151.83083400485827,151.83083400485827,0,2.043673982704397,-0.9705017460348063,-2.00507757371098
2025-07-10 00:00:00,solana,crypto,157.20772193763892,157.20772193763892,157.20772193763892,157.20772193763892,0,3.541367580585497,2.5364968003476083,0.0
2025-07-11 00:00:00,solana,crypto,163.85821380442644,163.85821380442644,163.85821380442644,163.85821380442644,0,4.230384986702895,6.874185366880613,0.0
2025-07-12 00:00:00,solana,crypto,162.75319398002793,162.75319398002793,162.75319398002793,162.75319398002793,0,-0.6743756072658091,6.1534519303023245,-0.6743756072658104
2025-07-13 00:00:00,solana,crypto,160.46917812212587,160.46917812212587,160.46917812212587,160.46917812212587,0,-1.4033616189322529,4.663735128740767,-2.0682732977582488
2025-07-14 00:00:00,solana,crypto,161.2426294578984,161.2426294578984,161.2426294578984,161.2426294578984,0,0.4819937042264355,5.168207742669519,-1.5962485406132148
