date,symbol,asset_type,open,high,low,close,volume,adj_close,daily_return,cumulative_return,drawdown
2024-07-01 00:00:00-03:00,^BVSP,indexes,123905.0,125220.0,123735.0,124718.0,0,124718.0,,0.0,0.0
2024-07-02 00:00:00-03:00,^BVSP,indexes,124720.0,125491.0,124310.0,124787.0,8368000,124787.0,0.055324812777635124,0.05532481277762632,0.0
2024-07-03 00:00:00-03:00,^BVSP,indexes,124787.0,126581.0,124787.0,125662.0,8534200,125662.0,0.7011948360005515,0.7569075835083949,0.0
2024-07-04 00:00:00-03:00,^BVSP,indexes,125666.0,126660.0,125666.0,126164.0,6535700,126164.0,0.3994843309831131,1.1594156416876473,0.0
2024-07-05 00:00:00-03:00,^BVSP,indexes,126165.0,126662.0,125556.0,126267.0,8085600,126267.0,0.08163977045749782,1.2420019564136693,0.0
2024-07-08 00:00:00-03:00,^BVSP,indexes,126280.0,126551.0,125614.0,126548.0,7430300,126548.0,0.22254429106576268,1.4673102519283503,0.0
2024-07-09 00:00:00-03:00,^BVSP,indexes,126548.0,127295.0,125937.0,127108.0,6684600,127108.0,0.4425198343711578,1.9163232251960423,0.0
2024-07-10 00:00:00-03:00,^BVSP,indexes,127109.0,127769.0,126928.0,127218.0,8152600,127218.0,0.0865405796645291,2.00452220208791,0.0
2024-07-11 00:00:00-03:00,^BVSP,indexes,127221.0,128326.0,127221.0,128294.0,7972900,128294.0,0.8457922621012859,2.867268557866547,0.0
2024-07-12 00:00:00-03:00,^BVSP,indexes,128293.0,129015.0,128002.0,128897.0,7206600,128897.0,0.47001418616614554,3.3507593130101507,0.0
2024-07-15 00:00:00-03:00,^BVSP,indexes,128898.0,129485.0,128723.0,129321.0,5826900,129321.0,0.3289448164037978,3.6907262784842603,0.0
2024-07-16 00:00:00-03:00,^BVSP,indexes,129322.0,129521.0,128761.0,129110.0,6818900,129110.0,-0.1631598889584862,3.5215446046280405,-0.16315988895848316
2024-07-17 00:00:00-03:00,^BVSP,indexes,129112.0,129658.0,128741.0,129450.0,6672400,129450.0,0.26334133684455807,3.7941596241119964,0.0
2024-07-18 00:00:00-03:00,^BVSP,indexes,129450.0,129454.0,127523.0,127652.0,7591500,127652.0,-1.3889532638084234,2.3525072563703717,-1.3889532638084203
2024-07-19 00:00:00-03:00,^BVSP,indexes,127652.0,128360.0,127413.0,127616.0,7620400,127616.0,-0.028201673299277363,2.3236421366603057,-1.4167632290459637
2024-07-22 00:00:00-03:00,^BVSP,indexes,127616.0,128151.0,127456.0,127860.0,6098200,127860.0,0.19119859578735632,2.5192835035840857,-1.228273464658169
2024-07-23 00:00:00-03:00,^BVSP,indexes,127860.0,127860.0,126530.0,126590.0,7022900,126590.0,-0.9932738933208229,1.5009862249234274,-2.209347238315952
2024-07-24 00:00:00-03:00,^BVSP,indexes,126596.0,126823.0,126218.0,126423.0,7304800,126423.0,-0.1319219527608828,1.3670841418239548,-2.3383545770567786
2024-07-25 00:00:00-03:00,^BVSP,indexes,126423.0,126423.0,125626.0,125954.0,7134100,125954.0,-0.37097680010758083,0.991035776712263,-2.70065662417922
2024-07-26 00:00:00-03:00,^BVSP,indexes,125964.0,127700.0,125953.0,127492.0,8272000,127492.0,1.221080712005973,2.2242178354367454,-1.5125531093086133
2024-07-29 00:00:00-03:00,^BVSP,indexes,127492.0,127657.0,126606.0,126954.0,7075400,126954.0,-0.42198726194584424,1.792844657547427,-1.9281575898030128
2024-07-30 00:00:00-03:00,^BVSP,indexes,126951.0,126951.0,125973.0,126139.0,6848600,126139.0,-0.6419648061502636,1.1393704196667682,-2.5577443028196214
