date,symbol,asset_type,open,high,low,close,volume,daily_return,cumulative_return,drawdown
2025-06-30 00:00:00,ethereum,crypto,2502.6672721177083,2502.6672721177083,2502.6672721177083,2502.6672721177083,0,,0.0,0.0
2025-07-01 00:00:00,ethereum,crypto,2488.190781689803,2488.190781689803,2488.190781689803,2488.190781689803,0,-0.5784424717256043,-0.578442471725605,-0.578442471725605
2025-07-02 00:00:00,ethereum,crypto,2405.1045592800183,2405.1045592800183,2405.1045592800183,2405.1045592800183,0,-3.3392223386246256,-3.898349330118276,-3.898349330118276
2025-07-03 00:00:00,ethereum,crypto,2574.067718495133,2574.067718495133,2574.067718495133,2574.067718495133,0,7.02518975997013,2.852973991904518,0.0
2025-07-04 00:00:00,ethereum,crypto,2590.132231590221,2590.132231590221,2590.132231590221,2590.132231590221,0,0.624090538864297,3.494869671528558,0.0
2025-07-05 00:00:00,ethereum,crypto,2509.236345783362,2509.236345783362,2509.236345783362,2509.236345783362,0,-3.1232338187302755,0.2624829012965519,-3.123233818730278
2025-07-06 00:00:00,ethereum,crypto,2517.37917835065,2517.37917835065,2517.37917835065,2517.37917835065,0,0.3245143719112553,0.5878490679463224,-2.8088547894291973
2025-07-07 00:00:00,ethereum,crypto,2571.358192115984,2571.358192115984,2571.358192115984,2571.358192115984,0,2.1442543987632456,2.744708446207101,-0.7248293830431537
2025-07-08 00:00:00,ethereum,crypto,2543.6317028067488,2543.6317028067488,2543.6317028067488,2543.6317028067488,0,-1.078281874312459,1.63683087821647,-1.795295553498566
2025-07-09 00:00:00,ethereum,crypto,2615.7759888945047,2615.7759888945047,2615.7759888945047,2615.7759888945047,0,2.83627091171057,4.5195267479997865,0.0
2025-07-10 00:00:00,ethereum,crypto,2772.5795626609174,2772.5795626609174,2772.5795626609174,2772.5795626609174,0,5.994533722770434,10.78498502578869,0.0
2025-07-11 00:00:00,ethereum,crypto,2948.4462027029053,2948.4462027029053,2948.4462027029053,2948.4462027029053,0,6.343069191248163,17.812153279488392,0.0
2025-07-12 00:00:00,ethereum,crypto,2958.8514450990992,2958.8514450990992,2958.8514450990992,2958.8514450990992,0,0.35290596066006596,18.22791939079368,0.0
2025-07-13 00:00:00,ethereum,crypto,2942.9616055388096,2942.9616055388096,2942.9616055388096,2942.9616055388096,0,-0.5370272842392554,17.593003206076723,-0.5370272842392536
2025-07-14 00:00:00,ethereum,crypto,2974.2654952333387,2974.2654952333387,2974.2654952333387,2974.2654952333387,0,1.0636866493811459,18.843824281786095,0.0
2025-07-15 00:00:00,ethereum,crypto,3012.1797069059276,3012.1797069059276,3012.1797069059276,3012.1797069059276,0,1.2747420071729243,20.358776432836784,0.0
2025-07-16 00:00:00,ethereum,crypto,3133.069857747011,3133.069857747011,3133.069857747011,3133.069857747011,0,4.013377773043314,25.189228814099145,0.0
2025-07-17 00:00:00,ethereum,crypto,3368.126521526108,3368.126521526108,3368.126521526108,3368.126521526108,0,7.5024392832442555,34.58147469503866,0.0
2025-07-18 00:00:00,ethereum,crypto,3481.8828152374017,3481.8828152374017,3481.8828152374017,3481.8828152374017,0,3.3774352888546133,39.126876913649824,0.0
2025-07-19 00:00:00,ethereum,crypto,3547.317079001209,3547.317079001209,3547.317079001209,3547.317079001209,0,1.8792781732186459,41.741457944568815,0.0
2025-07-20 00:00:00,ethereum,crypto,3594.3185010809702,3594.3185010809702,3594.3185010809702,3594.3185010809702,0,1.3249850812038222,43.619511116215136,0.0
2025-07-21 00:00:00,ethereum,crypto,3758.605581813957,3758.605581813957,3758.605581813957,3758.605581813957,0,4.570743541051758,50.183990644249654,0.0
2025-07-22 00:00:00,ethereum,crypto,3765.453624023574,3765.453624023574,3765.453624023574,3765.453624023574,0,0.18219635076239804,50.45762039463282,0.0
2025-07-23 00:00:00,ethereum,crypto,3746.9406687316323,3746.9406687316323,3746.9406687316323,3746.9406687316323,0,-0.49165272342830413,49.71789140635719,-0.49165272342830163
2025-07-24 00:00:00,ethereum,crypto,3630.053531480921,3630.053531480921,3630.053531480921,3630.053531480921,0,-3.1195353111977298,45.04738891675521,-3.595850754310216
2025-07-25 00:00:00,ethereum,crypto,3708.4299352383423,3708.4299352383423,3708.4299352383423,3708.4299352383423,0,2.1590977399566613,48.17910381272302,-1.5143909467220826
2025-07-26 00:00:00,ethereum,crypto,3723.0529092785596,3723.0529092785596,3723.0529092785596,3723.0529092785596,0,0.3943171179066063,48.76339938421717,-1.1260453315504393
2025-07-27 00:00:00,ethereum,crypto,3742.4314258659915,3742.4314258659915,3742.4314258659915,3742.4314258659915,0,0.5205007035794962,49.5377139246808,-0.6114057018442839
2025-07-28 00:00:00,ethereum,crypto,3864.1248374654765,3864.1248374654765,3864.1248374654765,3864.1248374654765,0,3.2517205461239707,54.400262492573745,0.0
2025-07-29 00:00:00,ethereum,crypto,3786.303845995956,3786.303845995956,3786.303845995956,3786.303845995956,0,-2.013935748529383,51.290740410412596,-2.0139357485293874
2025-07-30 00:00:00,ethereum,crypto,3788.5983716058226,3788.5983716058226,3788.5983716058226,3788.5983716058226,0,0.06060067293047755,51.382423617182816,-1.9545555342148968
2025-07-31 00:00:00,ethereum,crypto,3807.4166010824188,3807.4166010824188,3807.4166010824188,3807.4166010824188,0,0.4967068987209666,52.13435055874035,-1.4675570476717132
2025-08-01 00:00:00,ethereum,crypto,3696.6628530851194,3696.6628530851194,3696.6628530851194,3696.6628530851194,0,-2.908894917509497,47.70892216755108,-4.333762272809936
2025-08-02 00:00:00,ethereum,crypto,3483.1789551579504,3483.1789551579504,3483.1789551579504,3483.1789551579504,0,-5.775043773575462,39.1786672548985,-9.858529378087919
2025-08-03 00:00:00,ethereum,crypto,3397.4855484143177,3397.4855484143177,3397.4855484143177,3397.4855484143177,0,-2.460206835389167,35.75458416968995,-12.076195999848515
2025-08-04 00:00:00,ethereum,crypto,3497.573127822404,3497.573127822404,3497.573127822404,3497.573127822404,0,2.945930982835221,39.75382052536395,-9.486021416520748
2025-08-05 00:00:00,ethereum,crypto,3715.7090148550706,3715.7090148550706,3715.7090148550706,3715.7090148550706,0,6.236778447817004,48.4699566838907,-3.8408651079646168
2025-08-06 00:00:00,ethereum,crypto,3612.442432236669,3612.442432236669,3612.442432236669,3612.442432236669,0,-2.779189172390817,44.343695723478675,-6.513309373148743
2025-08-07 00:00:00,ethereum,crypto,3684.0459195726726,3684.0459195726726,3684.0459195726726,3684.0459195726726,0,1.9821350424031436,47.20478269791352,-4.660276918250906
2025-08-08 00:00:00,ethereum,crypto,3911.2609462690816,3911.2609462690816,3911.2609462690816,3911.2609462690816,0,6.167540569710495,56.28369739136153,0.0
2025-08-09 00:00:00,ethereum,crypto,4012.97697001236,4012.97697001236,4012.97697001236,4012.97697001236,0,2.6005941598016946,60.348002098443445,0.0
2025-08-10 00:00:00,ethereum,crypto,4265.563258333516,4265.563258333516,4265.563258333516,4265.563258333516,0,6.294237176257167,70.44068565790928,0.0
2025-08-11 00:00:00,ethereum,crypto,4253.591618951185,4253.591618951185,4253.591618951185,4253.591618951185,0,-0.28065787933029274,69.9623304440258,-0.2806578793302926
2025-08-12 00:00:00,ethereum,crypto,4228.824213261163,4228.824213261163,4228.824213261163,4228.824213261163,0,-0.5822704177729565,68.97269007249271,-0.8612941092967548
2025-08-13 00:00:00,ethereum,crypto,4606.809427709522,4606.809427709522,4606.809427709522,4606.809427709522,0,8.938305197530694,84.07598481164977,0.0
2025-08-14 00:00:00,ethereum,crypto,4763.652535322159,4763.652535322159,4763.652535322159,4763.652535322159,0,3.404592919977101,90.34302275792533,0.0
2025-08-15 00:00:00,ethereum,crypto,4554.291501538621,4554.291501538621,4554.291501538621,4554.291501538621,0,-4.394968613498573,81.97750664973007,-4.394968613498575
2025-08-16 00:00:00,ethereum,crypto,4430.532465017841,4430.532465017841,4430.532465017841,4430.532465017841,0,-2.7174157929717335,77.03242114437413,-6.992954835270944
2025-08-17 00:00:00,ethereum,crypto,4426.826913311333,4426.826913311333,4426.826913311333,4426.826913311333,0,-0.08363671264720596,76.88435704700922,-7.0707428703770265
2025-08-18 00:00:00,ethereum,crypto,4487.118013759226,4487.118013759226,4487.118013759226,4487.118013759226,0,1.3619484481446564,79.2934308028216,-5.805094295027768
2025-08-19 00:00:00,ethereum,crypto,4317.2757573282315,4317.2757573282315,4317.2757573282315,4317.2757573282315,0,-3.785107855647951,72.50698106884327,-9.370473070486854
2025-08-20 00:00:00,ethereum,crypto,4074.495786100515,4074.495786100515,4074.495786100515,4074.495786100515,0,-5.6234529567775855,62.80613214127966,-14.466981882318104
2025-08-21 00:00:00,ethereum,crypto,4330.491598768078,4330.491598768078,4330.491598768078,4330.491598768078,0,6.282883235291381,73.03505132361043,-9.093042226363531
2025-08-22 00:00:00,ethereum,crypto,4224.438592580698,4224.438592580698,4224.438592580698,4224.438592580698,0,-2.4489830719807704,68.79745220810199,-11.319338233492594
2025-08-23 00:00:00,ethereum,crypto,4829.225541798332,4829.225541798332,4829.225541798332,4829.225541798332,0,14.316386330714103,92.96314758261636,0.0
2025-08-24 00:00:00,ethereum,crypto,4773.884088598777,4773.884088598777,4773.884088598777,4773.884088598777,0,-1.1459695290799488,90.751848708966,-1.145969529079949
