date,symbol,asset_type,open,high,low,close,volume,daily_return,cumulative_return,drawdown
2025-06-30 00:00:00,bitcoin,crypto,108396.61631317894,108396.61631317894,108396.61631317894,108396.61631317894,0,,0.0,0.0
2025-07-01 00:00:00,bitcoin,crypto,107132.79910701896,107132.79910701896,107132.79910701896,107132.79910701896,0,-1.1659194254814764,-1.1659194254814764,-1.1659194254814764
2025-07-02 00:00:00,bitcoin,crypto,105613.39974163055,105613.39974163055,105613.39974163055,105613.39974163055,0,-1.418239211570138,-2.567623110584127,-2.567623110584127
2025-07-03 00:00:00,bitcoin,crypto,108824.44423167943,108824.44423167943,108824.44423167943,108824.44423167943,0,3.040376029844971,0.39468752166987925,0.0
2025-07-04 00:00:00,bitcoin,crypto,109602.20483914016,109602.20483914016,109602.20483914016,109602.20483914016,0,0.7146929285528403,1.1122012540299653,0.0
2025-07-05 00:00:00,bitcoin,crypto,108040.8919400104,108040.8919400104,108040.8919400104,108040.8919400104,0,-1.4245269074844358,-0.32816925958350335,-1.4245269074844322
2025-07-06 00:00:00,bitcoin,crypto,108217.46849992426,108217.46849992426,108217.46849992426,108217.46849992426,0,0.16343493351749228,-0.1652706692772433,-1.2634201485711332
2025-07-07 00:00:00,bitcoin,crypto,109215.19771840284,109215.19771840284,109215.19771840284,109215.19771840284,0,0.9219668804942183,0.7551724703830783,-0.353101583408221
2025-07-08 00:00:00,bitcoin,crypto,108300.71675785031,108300.71675785031,108300.71675785031,108300.71675785031,0,-0.8373202444868499,-0.08847098607907625,-1.1874652368535858
2025-07-09 00:00:00,bitcoin,crypto,108953.19187727802,108953.19187727802,108953.19187727802,108953.19187727802,0,0.6024661137622678,0.5134621199715567,-0.592153198756065
2025-07-10 00:00:00,bitcoin,crypto,111327.53054245669,111327.53054245669,111327.53054245669,111327.53054245669,0,2.1792281843868055,2.7038798155929262,0.0
2025-07-11 00:00:00,bitcoin,crypto,115879.65030112496,115879.65030112496,115879.65030112496,115879.65030112496,0,4.088943441471771,6.903383373449666,0.0
2025-07-12 00:00:00,bitcoin,crypto,117571.02510036016,117571.02510036016,117571.02510036016,117571.02510036016,0,1.459596050592138,8.463740935117908,0.0
2025-07-13 00:00:00,bitcoin,crypto,117418.95745007684,117418.95745007684,117418.95745007684,117418.95745007684,0,-0.12934109416288253,8.323452745822433,-0.12934109416288248
2025-07-14 00:00:00,bitcoin,crypto,119117.55666327637,119117.55666327637,119117.55666327637,119117.55666327637,0,1.4466141158864687,9.890475104059101,0.0
2025-07-15 00:00:00,bitcoin,crypto,119833.67446712355,119833.67446712355,119833.67446712355,119833.67446712355,0,0.6011857730355619,10.551121006305884,0.0
2025-07-16 00:00:00,bitcoin,crypto,117678.19493404306,117678.19493404306,117678.19493404306,117678.19493404306,0,-1.7987260614893752,8.562609181496804,-1.7987260614893763
