date,symbol,asset_type,open,high,low,close,volume,adj_close,daily_return,cumulative_return,drawdown
2024-07-01 00:00:00-04:00,^IXIC,indexes,17773.900390625,17894.279296875,17657.640625,17879.30078125,5189990000,17879.30078125,,0.0,0.0
2024-07-02 00:00:00-04:00,^IXIC,indexes,17808.0390625,18031.2890625,17802.240234375,18028.759765625,4526550000,18028.759765625,0.8359330501992446,0.8359330501992418,0.0
2024-07-03 00:00:00-04:00,^IXIC,indexes,18016.119140625,18188.30078125,18016.119140625,18188.30078125,3713960000,18188.30078125,0.8849250735993186,1.7282555049582693,0.0
2024-07-05 00:00:00-04:00,^IXIC,indexes,18200.599609375,18366.310546875,18197.140625,18352.759765625,4851000000,18352.759765625,0.904202027187373,2.6480844534564563,0.0
2024-07-08 00:00:00-04:00,^IXIC,indexes,18371.859375,18416.939453125,18342.599609375,18403.740234375,5286260000,18403.740234375,0.27778094085602056,2.93322126822196,0.0
2024-07-09 00:00:00-04:00,^IXIC,indexes,18465.01953125,18511.890625,18381.599609375,18429.2890625,4839140000,18429.2890625,0.13882410748919938,3.0761173939574418,0.0
2024-07-10 00:00:00-04:00,^IXIC,indexes,18512.08984375,18655.189453125,18467.580078125,18647.44921875,5228240000,18647.44921875,1.1837687037744349,4.296300212732906,0.0
2024-07-11 00:00:00-04:00,^IXIC,indexes,18659.25,18671.0703125,18238.779296875,18283.41015625,6366620000,18283.41015625,-1.9522190849242782,2.2602079351100186,-1.9522190849242744
2024-07-12 00:00:00-04:00,^IXIC,indexes,18303.640625,18556.73046875,18293.599609375,18398.44921875,5845930000,18398.44921875,0.6291991565953836,2.903628300970418,-1.3353032743461268
2024-07-15 00:00:00-04:00,^IXIC,indexes,18485.91015625,18641.529296875,18397.830078125,18472.5703125,5450350000,18472.5703125,0.4028659854356853,3.3181920171741894,-0.9378167716051982
2024-07-16 00:00:00-04:00,^IXIC,indexes,18534.26953125,18576.830078125,18386.0703125,18509.33984375,5812930000,18509.33984375,0.19904935062078355,3.523846207457515,-0.7406341391783017
2024-07-17 00:00:00-04:00,^IXIC,indexes,18188.189453125,18223.240234375,17972.869140625,17996.919921875,6007280000,17996.919921875,-2.768439750961882,0.6578508973256216,-3.4885698802219722
2024-07-18 00:00:00-04:00,^IXIC,indexes,18119.150390625,18130.869140625,17759.5390625,17871.220703125,5977260000,17871.220703125,-0.6984485083873393,-0.04519236084150208,-4.162652524316853
2024-07-19 00:00:00-04:00,^IXIC,indexes,17835.58984375,17935.140625,17691.4296875,17726.939453125,4992930000,17726.939453125,-0.8073385271033628,-0.8521660326044804,-4.936384353841961
2024-07-22 00:00:00-04:00,^IXIC,indexes,17923.650390625,18040.990234375,17839.759765625,18007.5703125,5093620000,18007.5703125,1.5830756353462316,0.7174191699068908,-3.431455416468447
